"estado","municipio","Total_15"
"Morelos","Ayala",85521
"Morelos","Cuautla",194786
"Morelos","Cuernavaca",366321
"Morelos","Emiliano Zapata",99493
"Morelos","Jiutepec",214137
"Morelos","Jojutla",57121
"Morelos","Puente de Ixtla",66435
"Morelos","Temixco",116143
"Morelos","Xochitepec",68984
"Morelos","Yautepec",102690
"Nayarit","Acaponeta",37309
"Nayarit","Bahía de Banderas",150250
"Nayarit","Compostela",75520
"Nayarit","Del Nayar *",42514
"Nayarit","Rosamorada",33901
"Nayarit","San Blas",43979
"Nayarit","Santiago Ixcuintla",97820
"Nayarit","Tecuala",39718
"Nayarit","Tepic",413608
"Nayarit","Xalisco",57418
"Nuevo León","Apodaca",597207
"Nuevo León","Cadereyta Jiménez",95534
"Nuevo León","García",247370
"Nuevo León","General Escobedo",425148
"Nuevo León","Guadalupe",682880
"Nuevo León","Juárez",333481
"Nuevo León","Monterrey",1109171
"Nuevo León","San Nicolás de los Garza",430143
"Nuevo León","San Pedro Garza García",123156
"Nuevo León","Santa Catarina",296954
"Oaxaca","Heroica Ciudad de Huajuapan de León",77547
"Oaxaca","Heroica Ciudad de Juchitán de Zaragoza",98043
"Oaxaca","Oaxaca de Juárez",264251
"Oaxaca","Salina Cruz",89211
"Oaxaca","San Juan Bautista Tuxtepec",162511
"Oaxaca","San Pedro Mixtepec",48336
"Oaxaca","Santa Cruz Xoxocotlán",93188
"Oaxaca","Santa Lucía del Camino",49459
"Oaxaca","Santiago Pinotepa Nacional",53148
"Oaxaca","Santo Domingo Tehuantepec",64639
"Puebla","Amozoc",117244
"Puebla","Atlixco",134364
"Puebla","Cuautlancingo",112225
"Puebla","Huauchinango",103509
"Puebla","Puebla",1576259
"Puebla","San Andrés Cholula",137290
"Puebla","San Martín Texmelucan",152051
"Puebla","San Pedro Cholula",129032
"Puebla","Tehuacán",319375
"Puebla","Teziutlán",97590
"Querétaro","Amealco de Bonfil",61259
"Querétaro","Cadereyta de Montes",69549
"Querétaro","Colón",62667
"Querétaro","Corregidora",181684
"Querétaro","El Marqués",156275
"Querétaro","Ezequiel Montes",40572
"Querétaro","Pedro Escobedo",68313
"Querétaro","Querétaro",878931
"Querétaro","San Juan del Río",268408
"Querétaro","Tequisquiapan",70742
"Quintana Roo","Bacalar",39111
"Quintana Roo","Benito Juárez",743626
"Quintana Roo","Cozumel",86415
"Quintana Roo","Felipe Carrillo Puerto",81742
"Quintana Roo","Isla Mujeres",19495
"Quintana Roo","José María Morelos",37502
"Quintana Roo","Lázaro Cárdenas",27243
"Quintana Roo","Othón P. Blanco",224080
"Quintana Roo","Solidaridad",209634
"Quintana Roo","Tulum",32714
"Sinaloa","Ahome",449215
"Sinaloa","Culiacán",905265
"Sinaloa","El Fuerte",100459
"Sinaloa","Elota",53856
"Sinaloa","Escuinapa",59436
"Sinaloa","Guasave",295353
"Sinaloa","Mazatlán",502547
"Sinaloa","Navolato",154352
"Sinaloa","Salvador Alvarado",81109
"Sinaloa","Sinaloa",88659
"San Luis Potosí","Aquismón",48772
"San Luis Potosí","Ciudad Valles",177022
"San Luis Potosí","Matehuala",99015
"San Luis Potosí","Mexquitic de Carmona",57184
"San Luis Potosí","Rioverde",94191
"San Luis Potosí","San Luis Potosí",824229
"San Luis Potosí","Soledad de Graciano Sánchez",309342
"San Luis Potosí","Tamazunchale",92291
"San Luis Potosí","Villa de Reyes",49385
"San Luis Potosí","Xilitla",52062
"Sonora","Agua Prieta",82918
"Sonora","Caborca",85631
"Sonora","Cajeme",433050
"Sonora","Etchojoa",63216
"Sonora","Guaymas",158046
"Sonora","Hermosillo",884273
"Sonora","Huatabampo",80524
"Sonora","Navojoa",163650
"Sonora","Nogales",233952
"Sonora","San Luis Río Colorado",192739
"Tabasco","Cárdenas",258554
"Tabasco","Centla",110130
"Tabasco","Centro",684847
"Tabasco","Comalcalco",201654
"Tabasco","Cunduacán",138504
"Tabasco","Huimanguillo",188792
"Tabasco","Jalpa de Méndez",87249
"Tabasco","Macuspana",165729
"Tabasco","Nacajuca",138366
"Tabasco","Paraíso",94375
"Tamaulipas","Altamira",235066
"Tamaulipas","Ciudad Madero",209175
"Tamaulipas","El Mante",117648
"Tamaulipas","Matamoros",520367
"Tamaulipas","Nuevo Laredo",399431
"Tamaulipas","Reynosa",646202
"Tamaulipas","Río Bravo",126887
"Tamaulipas","Tampico",314418
"Tamaulipas","Valle Hermoso",64188
"Tamaulipas","Victoria",346029
"Tlaxcala","Apizaco",78624
"Tlaxcala","Calpulalpan",48385
"Tlaxcala","Chiautempan",70011
"Tlaxcala","Contla de Juan Cuamatzi",38330
"Tlaxcala","Huamantla",92887
"Tlaxcala","Ixtacuixtla de Mariano Matamoros",38324
"Tlaxcala","San Pablo del Monte",77242
"Tlaxcala","Tlaxcala",95051
"Tlaxcala","Tlaxco",42536
"Tlaxcala","Zacatelco",42686
"Veracruz de Ignacio de la Llave","Boca del Río",142207
"Veracruz de Ignacio de la Llave","Coatzacoalcos",319187
"Veracruz de Ignacio de la Llave","Córdoba",218153
"Veracruz de Ignacio de la Llave","Minatitlán",157393
"Veracruz de Ignacio de la Llave","Papantla",161097
"Veracruz de Ignacio de la Llave","Poza Rica de Hidalgo",200119
"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",164834
"Veracruz de Ignacio de la Llave","Tuxpan",161829
"Veracruz de Ignacio de la Llave","Veracruz",609964
"Veracruz de Ignacio de la Llave","Xalapa",480841
"Yucatán","Chemax",36881
"Yucatán","Kanasín",96317
"Yucatán","Mérida",892363
"Yucatán","Motul",36097
"Yucatán","Progreso",59122
"Yucatán","Tekax",42440
"Yucatán","Ticul",40161
"Yucatán","Tizimín",77621
"Yucatán","Umán",55261
"Yucatán","Valladolid",80313
"Zacatecas","Calera",45204
"Zacatecas","Fresnillo",230865
"Zacatecas","Guadalupe",187918
"Zacatecas","Jerez",59125
"Zacatecas","Loreto",53441
"Zacatecas","Ojocaliente",43471
"Zacatecas","Pinos",73151
"Zacatecas","Río Grande",63880
"Zacatecas","Sombrerete",62433
"Zacatecas","Zacatecas",146147
